exposure_group,ieu_id,exposure,exposure_units,exposure_snps,ancestry,sex,multiple_testing_correction,confirm,phenoscanner_exclusions,contains_ukb,trait_label,api_trait,sample_size,consortium,author,year,pmid,attempted
grain_intake,ebi-a-GCST006348,Anti-varicella zoster virus IgG levels,NA,,eur,both,BH,yes,"educat, school, smok",no,Rice intake,Anti-varicella zoster virus IgG levels,931,NA,Scepanovic P,2018,30053915,
grain_intake,ebi-a-GCST90006928,Anti-varicella zoster virus IgG seropositivity,NA,,eur,both,BH,yes,"educat, school, smok",no,Rice intake,Anti-varicella zoster virus IgG seropositivity,8735,NA,Butler-Laporte G,2020,33204752,
grain_intake,ebi-a-GCST90006929,Varicella zoster virus glycoproteins E and I antibody levels,NA,,eur,both,BH,yes,"educat, school, smok",no,Rice intake,Varicella zoster virus glycoproteins E and I antibody levels,7595,NA,Butler-Laporte G,2020,33204752,
fiber_intake,ebi-a-GCST90014266,Retinal nerve fibre layer (RNFL) thickness,NA,,eur,both,BH,yes,"educat, school, smok",no,Fiber intake,Retinal nerve fibre layer (RNFL) thickness,31434,NA,Currant H,2021,33979322,
egg_intake,ebi-a-GCST90016990,Gut microbiota abundance (genus Eggerthella id.819),NA,,eur,both,BH,yes,"educat, school, smok",no,Egg intake,Gut microbiota abundance (genus Eggerthella id.819),14306,NA,Kurilshikov A,2021,33462485,
egg_intake,ebi-a-GCST90027691,Gut microbiota abundance (k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Eggerthella),,,eur,both,BH,yes,"educat, school, smok",no,Egg intake,Gut microbiota abundance (k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Eggerthella),7738,NA,Lopera-Maya EA,2022,35115690,
egg_intake,ebi-a-GCST90027760,Gut microbiota abundance (k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Eggerthella.s_Eggerthella_unclassified),,,eur,both,BH,yes,"educat, school, smok",no,Egg intake,Gut microbiota abundance (k_Bacteria.p_Actinobacteria.c_Actinobacteria.o_Coriobacteriales.f_Coriobacteriaceae.g_Eggerthella.s_Eggerthella_unclassified),7738,NA,Lopera-Maya EA,2022,35115690,
egg_intake,ebi-a-GCST90027825,Gut microbiota abundance (k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidaceae.g_Bacteroides.s_Bacteroides_eggerthii),,,eur,both,BH,yes,"educat, school, smok",no,Egg intake,Gut microbiota abundance (k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidaceae.g_Bacteroides.s_Bacteroides_eggerthii),7738,NA,Lopera-Maya EA,2022,35115690,
egg_intake,ebi-a-GCST90032210,Bacteroides eggerthii abundance in stool,,,eur,both,BH,yes,"educat, school, smok",no,Egg intake,Bacteroides eggerthii abundance in stool,5959,NA,Qin Y,2022,35115689,
fat_intake,ebi-a-GCST90092817,Ratio of docosahexaenoic acid to total fatty acid levels,,,eur,both,BH,yes,"educat, school, smok",no,Total fat intake,Ratio of docosahexaenoic acid to total fatty acid levels,115006,NA,Richardson TG,2022,35213538,
fat_intake,ebi-a-GCST90092881,Ratio of linoleic acid to total fatty acids,,,eur,both,BH,yes,"educat, school, smok",no,Total fat intake,Ratio of linoleic acid to total fatty acids,115006,NA,Richardson TG,2022,35213538,
fat_intake,ebi-a-GCST90092928,Monounsaturated fatty acid levels,,,eur,both,BH,yes,"educat, school, smok",no,Saturated fat intake,Monounsaturated fatty acid levels,115006,NA,Richardson TG,2022,35213538,
fat_intake,ebi-a-GCST90092928,Monounsaturated fatty acid levels,,,eur,both,BH,yes,"educat, school, smok",no,Monounsaturated fat intake,Monounsaturated fatty acid levels,115006,NA,Richardson TG,2022,35213538,
fat_intake,ebi-a-GCST90092929,Ratio of monounsaturated fatty acids to total fatty acids,,,eur,both,BH,yes,"educat, school, smok",no,Saturated fat intake,Ratio of monounsaturated fatty acids to total fatty acids,115006,NA,Richardson TG,2022,35213538,
fat_intake,ebi-a-GCST90092929,Ratio of monounsaturated fatty acids to total fatty acids,,,eur,both,BH,yes,"educat, school, smok",no,Monounsaturated fat intake,Ratio of monounsaturated fatty acids to total fatty acids,115006,NA,Richardson TG,2022,35213538,
fat_intake,ebi-a-GCST90092932,Ratio of omega-3 fatty acids to total fatty acids,,,eur,both,BH,yes,"educat, school, smok",no,Total fat intake,Ratio of omega-3 fatty acids to total fatty acids,115006,NA,Richardson TG,2022,35213538,
fat_intake,ebi-a-GCST90092935,Ratio of omega-6 fatty acids to total fatty acids,,,eur,both,BH,yes,"educat, school, smok",no,Total fat intake,Ratio of omega-6 fatty acids to total fatty acids,115006,NA,Richardson TG,2022,35213538,
fat_intake,ebi-a-GCST90092939,Polyunsaturated fatty acid levels,,,eur,both,BH,yes,"educat, school, smok",no,Saturated fat intake,Polyunsaturated fatty acid levels,115006,NA,Richardson TG,2022,35213538,
fat_intake,ebi-a-GCST90092939,Polyunsaturated fatty acid levels,,,eur,both,BH,yes,"educat, school, smok",no,Polyunsaturated fat intake,Polyunsaturated fatty acid levels,115006,NA,Richardson TG,2022,35213538,
fat_intake,ebi-a-GCST90092940,Ratio of polyunsaturated fatty acids to monounsaturated fatty acids,,,eur,both,BH,yes,"educat, school, smok",no,Saturated fat intake,Ratio of polyunsaturated fatty acids to monounsaturated fatty acids,115006,NA,Richardson TG,2022,35213538,
fat_intake,ebi-a-GCST90092940,Ratio of polyunsaturated fatty acids to monounsaturated fatty acids,,,eur,both,BH,yes,"educat, school, smok",no,Monounsaturated fat intake,Ratio of polyunsaturated fatty acids to monounsaturated fatty acids,115006,NA,Richardson TG,2022,35213538,
fat_intake,ebi-a-GCST90092940,Ratio of polyunsaturated fatty acids to monounsaturated fatty acids,,,eur,both,BH,yes,"educat, school, smok",no,Polyunsaturated fat intake,Ratio of polyunsaturated fatty acids to monounsaturated fatty acids,115006,NA,Richardson TG,2022,35213538,
fat_intake,ebi-a-GCST90092941,Ratio of polyunsaturated fatty acids to total fatty acids,,,eur,both,BH,yes,"educat, school, smok",no,Saturated fat intake,Ratio of polyunsaturated fatty acids to total fatty acids,115006,NA,Richardson TG,2022,35213538,
fat_intake,ebi-a-GCST90092941,Ratio of polyunsaturated fatty acids to total fatty acids,,,eur,both,BH,yes,"educat, school, smok",no,Polyunsaturated fat intake,Ratio of polyunsaturated fatty acids to total fatty acids,115006,NA,Richardson TG,2022,35213538,
fat_intake,ebi-a-GCST90092980,Saturated fatty acid levels,,,eur,both,BH,yes,"educat, school, smok",no,Saturated fat intake,Saturated fatty acid levels,115006,NA,Richardson TG,2022,35213538,
fat_intake,ebi-a-GCST90092981,Ratio of saturated fatty acids to total fatty acids,,,eur,both,BH,yes,"educat, school, smok",no,Saturated fat intake,Ratio of saturated fatty acids to total fatty acids,115006,NA,Richardson TG,2022,35213538,
fat_intake,ebi-a-GCST90092987,Total fatty acid levels,,,eur,both,BH,yes,"educat, school, smok",no,Total fat intake,Total fatty acid levels,115006,NA,Richardson TG,2022,35213538,
meat_intake,ebi-a-GCST90096901,Beef consumption,,,eur,both,BH,yes,"educat, school, smok",no,Red meat intake,Beef consumption,241092,NA,Pirastu N,2022,35653391,
grain_intake,ebi-a-GCST90096903,Spread on bread consumption,,,eur,both,BH,yes,"educat, school, smok",no,Bread intake,Spread on bread consumption,445506,NA,Pirastu N,2022,35653391,
grain_intake,ebi-a-GCST90096904,Bread consumption,,,eur,both,BH,yes,"educat, school, smok",no,Bread intake,Bread consumption,438853,NA,Pirastu N,2022,35653391,
dairy_intake,ebi-a-GCST90096906,Cheese consumption,,,eur,both,BH,yes,"educat, school, smok",no,Cheese intake,Cheese consumption,365842,NA,Pirastu N,2022,35653391,
vegetable_intake,ebi-a-GCST90096907,Cooked vegetables consumption,,,eur,both,BH,yes,"educat, school, smok",no,Cooked vegetable intake,Cooked vegetables consumption,435417,NA,Pirastu N,2022,35653391,
fruit_intake,ebi-a-GCST90096909,Dried fruit consumption,,,eur,both,BH,yes,"educat, school, smok",no,Dried fruit intake,Dried fruit consumption,409125,NA,Pirastu N,2022,35653391,
fruit_intake,ebi-a-GCST90096912,Fresh fruit consumption,,,eur,both,BH,yes,"educat, school, smok",no,Fresh fruit intake,Fresh fruit consumption,433186,NA,Pirastu N,2022,35653391,
dairy_intake,ebi-a-GCST90096916,Percentage fat in milk consumption,,,eur,both,BH,yes,"educat, school, smok",no,Milk intake,Percentage fat in milk consumption,411503,NA,Pirastu N,2022,35653391,
fish_intake,ebi-a-GCST90096917,Non-oily fish consumption,,,eur,both,BH,yes,"educat, school, smok",no,Oily fish intake,Non-oily fish consumption,318136,NA,Pirastu N,2022,35653391,
fish_intake,ebi-a-GCST90096917,Non-oily fish consumption,,,eur,both,BH,yes,"educat, school, smok",no,Non-oily fish intake,Non-oily fish consumption,318136,NA,Pirastu N,2022,35653391,
fish_intake,ebi-a-GCST90096918,Oily fish consumption,,,eur,both,BH,yes,"educat, school, smok",no,Oily fish intake,Oily fish consumption,297881,NA,Pirastu N,2022,35653391,
meat_intake,ebi-a-GCST90096920,Poultry consumption,,,eur,both,BH,yes,"educat, school, smok",no,Poultry intake,Poultry consumption,399716,NA,Pirastu N,2022,35653391,
meat_intake,ebi-a-GCST90096921,Processed meat consumption,,,eur,both,BH,yes,"educat, school, smok",no,Processed meat intake,Processed meat consumption,312220,NA,Pirastu N,2022,35653391,
vegetable_intake,ebi-a-GCST90096923,Salad consumption,,,eur,both,BH,yes,"educat, school, smok",no,Raw vegetable intake,Salad consumption,422542,NA,Pirastu N,2022,35653391,
salt_intake,ebi-a-GCST90096924,Added salt consumption,,,eur,both,BH,yes,"educat, school, smok",no,Salt added to food,Added salt consumption,323995,NA,Pirastu N,2022,35653391,
grain_intake,finn-b-AB1_VARICELLA,Varicella [chickenpox],NA,,eur,both,BH,yes,"educat, school, smok",no,Rice intake,Varicella [chickenpox],,NA,NA,2021,,
grain_intake,finn-b-I9_VARICVEOES,Oesophageal varices,NA,,eur,both,BH,yes,"educat, school, smok",no,Rice intake,Oesophageal varices,,NA,NA,2021,,
grain_intake,finn-b-I9_VARICVEOES_EXNONE,Oesophageal varices (no controls excluded),NA,,eur,both,BH,yes,"educat, school, smok",no,Rice intake,Oesophageal varices (no controls excluded),,NA,NA,2021,,
fiber_intake,finn-b-J10_ASBESTPNEUMOC,Pneumoconiosis due to asbestos and other mineral fibres,NA,,eur,both,BH,yes,"educat, school, smok",no,Fiber intake,Pneumoconiosis due to asbestos and other mineral fibres,,NA,NA,2021,,
fiber_intake,finn-b-SFN,Small fibre neuropathy,NA,,eur,both,BH,yes,"educat, school, smok",no,Fiber intake,Small fibre neuropathy,,NA,NA,2021,,
fruit_intake,ieu-b-44,Fresh fruit intake,NA,,eur,both,BH,yes,"educat, school, smok",no,Fresh fruit intake,Fresh fruit intake,223014,NA,Lyon,2020,,
fruit_intake,ieu-b-45,Fresh fruit intake,NA,,eur,both,BH,yes,"educat, school, smok",no,Fresh fruit intake,Fresh fruit intake,222722,NA,Lyon,2020,,
egg_intake,met-a-458,DSGEGDFXAEGGGVR*,log10 units,,eur,both,BH,yes,"educat, school, smok",no,Egg intake,DSGEGDFXAEGGGVR*,5371,NA,Shin,2014,24816252,
egg_intake,met-a-539,ADSGEGDFXAEGGGVR*,log10 units,,eur,both,BH,yes,"educat, school, smok",no,Egg intake,ADSGEGDFXAEGGGVR*,5588,NA,Shin,2014,24816252,
egg_intake,met-a-601,ADpSGEGDFXAEGGGVR*,log10 units,,eur,both,BH,yes,"educat, school, smok",no,Egg intake,ADpSGEGDFXAEGGGVR*,3939,NA,Shin,2014,24816252,
fat_intake,met-c-845,Ratio of bisallylic groups to total fatty acids,SD,,eur,both,BH,yes,"educat, school, smok",no,Total fat intake,Ratio of bisallylic groups to total fatty acids,13171,NA,Kettunen,2016,27005778,
fat_intake,met-c-857,"Omega-7, omega-9 and saturated fatty acids",SD,,eur,both,BH,yes,"educat, school, smok",no,Saturated fat intake,"Omega-7, omega-9 and saturated fatty acids",13506,NA,Kettunen,2016,27005778,
fat_intake,met-c-916,Mono-unsaturated fatty acids,SD,,eur,both,BH,yes,"educat, school, smok",no,Saturated fat intake,Mono-unsaturated fatty acids,13535,NA,Kettunen,2016,27005778,
fat_intake,met-c-917,Other polyunsaturated fatty acids than 18:2,SD,,eur,both,BH,yes,"educat, school, smok",no,Saturated fat intake,Other polyunsaturated fatty acids than 18:2,13549,NA,Kettunen,2016,27005778,
fat_intake,met-c-917,Other polyunsaturated fatty acids than 18:2,SD,,eur,both,BH,yes,"educat, school, smok",no,Polyunsaturated fat intake,Other polyunsaturated fatty acids than 18:2,13549,NA,Kettunen,2016,27005778,
fat_intake,met-c-936,Total fatty acids,SD,,eur,both,BH,yes,"educat, school, smok",no,Total fat intake,Total fatty acids,13505,NA,Kettunen,2016,27005778,
fat_intake,met-d-DHA_pct,Ratio of docosahexaenoic acid to total fatty acids,NA,,eur,both,BH,yes,"educat, school, smok",no,Total fat intake,Ratio of docosahexaenoic acid to total fatty acids,114999,NA,Borges CM,2020,,
fat_intake,met-d-LA_pct,Ratio of linoleic acid to total fatty acids,NA,,eur,both,BH,yes,"educat, school, smok",no,Total fat intake,Ratio of linoleic acid to total fatty acids,114999,NA,Borges CM,2020,,
fat_intake,met-d-MUFA,Monounsaturated fatty acids,NA,,eur,both,BH,yes,"educat, school, smok",no,Saturated fat intake,Monounsaturated fatty acids,114999,NA,Borges CM,2020,,
fat_intake,met-d-MUFA,Monounsaturated fatty acids,NA,,eur,both,BH,yes,"educat, school, smok",no,Monounsaturated fat intake,Monounsaturated fatty acids,114999,NA,Borges CM,2020,,
fat_intake,met-d-MUFA_pct,Ratio of monounsaturated fatty acids to total fatty acids,NA,,eur,both,BH,yes,"educat, school, smok",no,Saturated fat intake,Ratio of monounsaturated fatty acids to total fatty acids,114999,NA,Borges CM,2020,,
fat_intake,met-d-MUFA_pct,Ratio of monounsaturated fatty acids to total fatty acids,NA,,eur,both,BH,yes,"educat, school, smok",no,Monounsaturated fat intake,Ratio of monounsaturated fatty acids to total fatty acids,114999,NA,Borges CM,2020,,
fat_intake,met-d-Omega_3_pct,Ratio of omega-3 fatty acids to total fatty acids,NA,,eur,both,BH,yes,"educat, school, smok",no,Total fat intake,Ratio of omega-3 fatty acids to total fatty acids,114999,NA,Borges CM,2020,,
fat_intake,met-d-Omega_6_pct,Ratio of omega-6 fatty acids to total fatty acids,NA,,eur,both,BH,yes,"educat, school, smok",no,Total fat intake,Ratio of omega-6 fatty acids to total fatty acids,114999,NA,Borges CM,2020,,
fat_intake,met-d-PUFA,Polyunsaturated fatty acids,NA,,eur,both,BH,yes,"educat, school, smok",no,Saturated fat intake,Polyunsaturated fatty acids,114999,NA,Borges CM,2020,,
fat_intake,met-d-PUFA,Polyunsaturated fatty acids,NA,,eur,both,BH,yes,"educat, school, smok",no,Polyunsaturated fat intake,Polyunsaturated fatty acids,114999,NA,Borges CM,2020,,
fat_intake,met-d-PUFA_by_MUFA,Ratio of polyunsaturated fatty acids to monounsaturated fatty acids,NA,,eur,both,BH,yes,"educat, school, smok",no,Saturated fat intake,Ratio of polyunsaturated fatty acids to monounsaturated fatty acids,114999,NA,Borges CM,2020,,
fat_intake,met-d-PUFA_by_MUFA,Ratio of polyunsaturated fatty acids to monounsaturated fatty acids,NA,,eur,both,BH,yes,"educat, school, smok",no,Monounsaturated fat intake,Ratio of polyunsaturated fatty acids to monounsaturated fatty acids,114999,NA,Borges CM,2020,,
fat_intake,met-d-PUFA_by_MUFA,Ratio of polyunsaturated fatty acids to monounsaturated fatty acids,NA,,eur,both,BH,yes,"educat, school, smok",no,Polyunsaturated fat intake,Ratio of polyunsaturated fatty acids to monounsaturated fatty acids,114999,NA,Borges CM,2020,,
fat_intake,met-d-PUFA_pct,Ratio of polyunsaturated fatty acids to total fatty acids,NA,,eur,both,BH,yes,"educat, school, smok",no,Saturated fat intake,Ratio of polyunsaturated fatty acids to total fatty acids,114999,NA,Borges CM,2020,,
fat_intake,met-d-PUFA_pct,Ratio of polyunsaturated fatty acids to total fatty acids,NA,,eur,both,BH,yes,"educat, school, smok",no,Polyunsaturated fat intake,Ratio of polyunsaturated fatty acids to total fatty acids,114999,NA,Borges CM,2020,,
fat_intake,met-d-SFA,Saturated fatty acids,NA,,eur,both,BH,yes,"educat, school, smok",no,Saturated fat intake,Saturated fatty acids,114999,NA,Borges CM,2020,,
fat_intake,met-d-SFA_pct,Ratio of saturated fatty acids to total fatty acids,NA,,eur,both,BH,yes,"educat, school, smok",no,Saturated fat intake,Ratio of saturated fatty acids to total fatty acids,114999,NA,Borges CM,2020,,
fat_intake,met-d-Total_FA,Total fatty acids,NA,,eur,both,BH,yes,"educat, school, smok",no,Total fat intake,Total fatty acids,114999,NA,Borges CM,2020,,
legume_intake,prot-a-1889,Mitofusin-1,NA,,eur,both,BH,yes,"educat, school, smok",no,Legume intake,Mitofusin-1,3301,NA,Sun BB,2018,29875488,
grain_intake,prot-a-366,Calpastatin,NA,,eur,both,BH,yes,"educat, school, smok",no,Pasta intake,Calpastatin,3301,NA,Sun BB,2018,29875488,
grain_intake,prot-c-3026_5_2,Calpastatin,NA,,eur,both,BH,yes,"educat, school, smok",no,Pasta intake,Calpastatin,,NA,Suhre K,2019,28240269,
